Gene,Sample
bfr,BD163
bfr,BD48
bfr,BD54
bfr,BD61
bfr,E7
bglB,BD120
bglB,BD126
bglB,BD132
bglB,BD160
bglB,BD162
bglB,BD50
bglB,BD9
bglB,BG1
bglX,BD139
bglX,BD61
bioF,BD120
bioF,BD126
bioF,BD127
bioF,BD139
bioF,BD158
bioF,BD162
bioF,BD163
bioF,BD48
bioF,BD54
bioF,BD61
bioF,BD9
bioF,BG1
bioF,E7
bsdC,BD120
bsdC,BD126
bsdC,BD162
bsdC,BD163
bsdC,BD9
bsdC,BG1
bsdD,BD120
bsdD,BD126
bsdD,BD162
bsdD,BD163
bsdD,BD9
bsdD,BG1
buk,BD120
buk,BD126
buk,BD132
buk,BD160
buk,BD162
buk,BD163
buk,BD50
buk,BD9
buk,BG1
carA,BD117
carA,BD120
carA,BD126
carA,BD127
carA,BD132
carA,BD139
carA,BD158
carA,BD160
carA,BD162
carA,BD163
carA,BD48
carA,BD50
carA,BD54
carA,BD61
carA,BD9
carA,BG1
carA,E7
carB,BD117
carB,BD120
carB,BD126
carB,BD127
carB,BD132
carB,BD139
carB,BD158
carB,BD160
carB,BD162
carB,BD163
carB,BD48
carB,BD50
carB,BD54
carB,BD61
carB,BD9
carB,BG1
carB,E7
catA,BD132
catA,BD139
catA,BD160
catA,BD163
catA,BD48
catA,BD50
catA,BD54
catA,E7
catB,BD120
catB,BD126
catB,BD127
catB,BD48
catB,BD54
catB,BD61
catB,E7
catE,BD120
catE,BD126
catE,BD132
catE,BD160
catE,BD162
catE,BD163
catE,BD50
catE,BD61
catE,BD9
catE,BG1
cbiG,BD139
cbiG,BD163
cbiG,BD61
cbiGH-cobJ,BD61
ccoN,BD127
ccoN,BD61
ccoO,BD127
ccoO,BD61
ccoP,BD127
ccoP,BD61
ccoQ,BD127
ccoQ,BD61
cdd,BD117
cdd,BD120
cdd,BD126
cdd,BD132
cdd,BD139
cdd,BD158
cdd,BD160
cdd,BD162
cdd,BD163
cdd,BD50
cdd,BD9
cdd,BG1
cdgA,BD48
cdgA,BD54
cdgA,E7
cfa,BD127
cfa,BD158
cfa,BD61
cheB,BD120
cheB,BD126
cheB,BD127
cheB,BD132
cheB,BD139
cheB,BD158
cheB,BD160
cheB,BD162
cheB,BD163
cheB,BD50
cheB,BD9
cheB,BG1
cheD,BD120
cheD,BD126
cheD,BD127
cheD,BD132
cheD,BD139
cheD,BD160
cheD,BD162
cheD,BD163
cheD,BD50
cheD,BD9
cheD,BG1
choD,BD48
choD,BD54
choD,E7
cobB,BD117
cobB,BD120
cobB,BD126
cobB,BD127
cobB,BD132
cobB,BD139
cobB,BD158
cobB,BD160
cobB,BD162
cobB,BD163
cobB,BD48
cobB,BD50
cobB,BD54
cobB,BD9
cobB,BG1
cobB,E7
codA,BD117
codA,BD127
codA,BD158
codA,BD163
codA,BD61
comEB,BD120
comEB,BD126
comEB,BD132
comEB,BD160
comEB,BD162
comEB,BD163
comEB,BD50
comEB,BD9
comEB,BG1
copA,BD117
copA,BD120
copA,BD126
copA,BD127
copA,BD132
copA,BD139
copA,BD158
copA,BD160
copA,BD162
copA,BD163
copA,BD48
copA,BD50
copA,BD54
copA,BD61
copA,BD9
copA,BG1
copA,E7
copB,BD117
copB,BD127
copB,BD61
cotA,BD120
cotA,BD126
cotA,BD132
cotA,BD160
cotA,BD162
cotA,BD50
cotA,BD9
cotA,BG1
coxA,BD117
coxA,BD120
coxA,BD126
coxA,BD127
coxA,BD132
coxA,BD139
coxA,BD160
coxA,BD162
coxA,BD163
coxA,BD50
coxA,BD61
coxA,BD9
coxA,BG1
coxB,BD117
coxB,BD120
coxB,BD126
coxB,BD127
coxB,BD132
coxB,BD139
coxB,BD160
coxB,BD162
coxB,BD163
coxB,BD50
coxB,BD61
coxB,BD9
coxB,BG1
coxC,BD117
coxC,BD120
coxC,BD126
coxC,BD127
coxC,BD132
coxC,BD139
coxC,BD160
coxC,BD162
coxC,BD163
coxC,BD50
coxC,BD61
coxC,BD9
coxC,BG1
coxD,BD120
coxD,BD126
coxD,BD132
coxD,BD139
coxD,BD160
coxD,BD162
coxD,BD163
coxD,BD50
coxD,BD9
coxD,BG1
coxM,BD120
coxM,BD126
coxS,BD120
coxS,BD126
coxS,BD162
coxS,BD163
coxS,BD9
coxS,BG1
cpo,BD120
cpo,BD126
cpo,BD139
cpo,BD163
cpo,BD48
cpo,BD54
cpo,BD61
cpo,E7
cuyA,BD139
cuyA,BD163
cuyA,BD48
cuyA,BD54
cuyA,E7
cynD,BD132
cynD,BD50
cynS,BD127
cynS,BD158
cynT,BD117
cynT,BD120
cynT,BD126
cynT,BD127
cynT,BD132
cynT,BD139
cynT,BD158
cynT,BD160
cynT,BD162
