sample,taxon,source_label,dcpip_available,annotated_in_biorempp,annotated_in_ko_subset,metal_authority,metal_group_from_image,raw_uc81_metal,raw_uc81_metal_groups,unique_ko_count,PL1_mean,PL2_mean,PP1_mean,PP2_mean,PL_mean,PP_mean,overall_mean,dcpip_missing_values,Aliphatic_compounds_covered,Aliphatic_compound_coverage_pct,Aliphatic_kos_covered,Aliphatic_ko_completeness_pct,Polyaromatic_compounds_covered,Polyaromatic_compound_coverage_pct,Polyaromatic_kos_covered,Polyaromatic_ko_completeness_pct,biorempp_reference_count,enzyme_activity_count,hadeg_ko_count,hadeg_pathway_count,hadeg_compound_pathway_count,kegg_ko_count,kegg_pathname_count,tox_unique_compounds,tox_high_toxicity_compounds,tox_high_toxicity_endpoint_hits
BD73,Bacillus tropicus,BD73 - Bacillus tropicus,True,True,True,False,,False,,1952,71.61,81.536667,49.523333,57.81,76.573333,53.666667,65.12,0,33,55.932203,58,37.908497,28,63.636364,38,45.783133,9,80,45,40,5,32,13,132,131,490
BD77,Stutzerimonas balearica,BD77 - Stutzerimonas balearica,True,True,True,False,,False,,2193,61.82,71.586667,49.9,49.853333,66.703333,49.876667,58.29,1,33,55.932203,51,33.333333,28,63.636364,45,54.216867,9,69,84,49,5,68,18,125,124,453
BD78,Bacillus,BD78 - Bacillus,True,False,False,False,,False,,0,60.91,73.66,53.943333,40.413333,67.285,47.178333,57.231667,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
BD8,Rothia,BD8 - Rothia,True,True,True,False,,False,,1190,70.34,78.77,72.083333,57.716667,74.555,64.9,69.7275,0,27,45.762712,39,25.490196,17,38.636364,19,22.891566,9,59,29,28,5,27,14,105,104,348
BD81,Bacillus,BD81 - Bacillus,True,True,True,False,,False,,2145,66.893333,73.59,67.485,41.333333,70.241667,54.409167,62.325417,1,39,66.101695,53,34.640523,27,61.363636,40,48.192771,9,78,56,43,5,31,15,141,140,524
BD83,Bacillus,BD83 - Bacillus,True,True,True,False,,False,,2197,41.183333,57.153333,31.846667,16.11,49.168333,23.978333,36.573333,1,33,55.932203,51,33.333333,28,63.636364,45,54.216867,9,69,84,49,5,68,18,125,124,453
BD9,Bacillus amyloliquefaciens,BD9 - Bacillus amyloliquefaciens,True,True,True,True,Metal_Group_4,False,,2054,50.37,72.896667,44.65,51.883333,61.633333,48.266667,54.95,1,30,50.847458,53,34.640523,26,59.090909,34,40.963855,9,74,54,43,5,30,15,129,128,475
BD95,Stutzerimonas frequens,BD95 - Stutzerimonas frequens,True,True,True,False,,False,,2199,23.89,49.503333,45.26,,36.696667,45.26,39.551111,6,33,55.932203,51,33.333333,28,63.636364,45,54.216867,9,69,84,49,5,68,18,125,124,453
BD96,Stutzerimonas frequens,BD96 - Stutzerimonas frequens,True,True,True,False,,False,,2199,30.253333,51.876667,39.035,,41.065,39.035,40.388333,4,33,55.932203,51,33.333333,28,63.636364,45,54.216867,9,69,84,49,5,68,18,125,124,453
BG1,Bacillus amyloliquefaciens,BG1 - Bacillus amyloliquefaciens,True,True,True,True,Metal_Group_4,False,,2061,69.57,85.556667,80.03,70.803333,77.563333,75.416667,76.49,0,30,50.847458,53,34.640523,26,59.090909,34,40.963855,9,74,54,43,5,30,15,129,128,475
CB13,Enterobacter,CB13 - Enterobacter,True,True,True,False,,True,Group 26,2887,72.463333,80.7,58.42,53.78,76.581667,56.1,66.340833,0,28,47.457627,59,38.562092,24,54.545455,46,55.421687,9,76,66,48,5,45,16,112,111,386
E7,Acinetobacter,E7 - Acinetobacter,True,True,True,True,Metal_Group_1,True,Group 1,1858,79.746667,86.066667,68.486667,45.056667,82.906667,56.771667,69.839167,0,34,57.627119,60,39.215686,28,63.636364,29,34.939759,9,73,95,55,5,69,17,127,126,449
