target_class,model_version,compound_name,covered_by_selected,covering_selected_samples
Polyaromatic,strict_metal,"4,4'-Methylenebis(N,N-dimethylaniline)",True,BD158
Polyaromatic,strict_metal,Acenaphthene,True,BD120;BD61
Polyaromatic,strict_metal,Amsacrine,True,BD117;BD120;BD158;BD61
Polyaromatic,strict_metal,Anthracene,True,BD61
Polyaromatic,strict_metal,"Anthracene-cis-1,2-dihydrodiol",True,BD61
Polyaromatic,strict_metal,Aristolochic acid,True,BD158
Polyaromatic,strict_metal,Arylmercury,True,BD120;BD158;BD61
Polyaromatic,strict_metal,Auramine,True,BD117
Polyaromatic,strict_metal,Benzo[a]pyrene,True,BD120;BD61
Polyaromatic,strict_metal,"Benzo[a]pyrene-cis-9,10-dihydrodiol",True,BD61
Polyaromatic,strict_metal,Benzo[k]fluoranthene,True,BD158
Polyaromatic,strict_metal,Benzophenone,True,BD120
Polyaromatic,strict_metal,Cypermethrin,True,BD117;BD120;BD158;BD61
Polyaromatic,strict_metal,Disperse Blue 1,True,BD117
Polyaromatic,strict_metal,Etoposide,True,BD120;BD158;BD61
Polyaromatic,strict_metal,Fluoranthene,True,BD120;BD61
Polyaromatic,strict_metal,Fluoren-9-ol,True,BD61
Polyaromatic,strict_metal,Fluorene,True,BD61
Polyaromatic,strict_metal,Methoxychlor,True,BD117
Polyaromatic,strict_metal,Mitomycin,True,BD117;BD120;BD158;BD61
Polyaromatic,strict_metal,Mitoxantrone,True,BD117;BD120;BD158;BD61
Polyaromatic,strict_metal,"N,N'-Diacetylbenzidine",True,BD158;BD61
Polyaromatic,strict_metal,Nafenopin,True,BD117;BD120;BD158;BD61
Polyaromatic,strict_metal,Naphthalene,True,BD120;BD61
Polyaromatic,strict_metal,"Naphthalene-1,2-diol",True,BD61
Polyaromatic,strict_metal,Nitrofen,True,BD117;BD120;BD158
Polyaromatic,strict_metal,Ochratoxin A,True,BD120
Polyaromatic,strict_metal,Phenolphthalein,True,BD120
Polyaromatic,strict_metal,Phenytoin,False,
Polyaromatic,strict_metal,Sulfasalazine,True,BD117;BD120;BD158;BD61
Polyaromatic,strict_metal,Tamoxifen,True,BD120
Polyaromatic,strict_metal,para-(Dimethylamino)azobenzene,True,BD120
Polyaromatic,strict_metal,para-Aminoazobenzene,True,BD117;BD120;BD158;BD61
Polyaromatic,relaxed,"(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene",True,BD61
Polyaromatic,relaxed,1-Hydroxy-2-naphthoate,True,BD61
